Demography,Unnamed: 1,ZP Identification Snapshot,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,ZP Candidates Bifurcation ,Unnamed: 11,Unnamed: 12,Sangathan  Pool Snapshot ,Unnamed: 14,Unnamed: 15,Unnamed: 16,Zonal,Unnamed: 18,Unnamed: 19,Unnamed: 20,District,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Zone,District,Number of ZP Seats,Unique Candidates Identified  (Atleast One Candidates),Seats with 2 or more Candidates Identified,Seats with 3 or more Candidates Identified,Total Candidate Identified,Gap (Seat Wise Atleast One Candidates not Identified ),Gap (Seat Wise Two Candidates not Identified ),% Candidate Identified ,Incumbent ZP,Sangathan Leaders ,Onboarded Last ZP,Total Sangathan Pool ,Total Connected ,Total Sangathan Leaders Interested ,Unique with Zp Area Name ,State Committee ( SWG / vice President ),Sangathan Zonals ,Frontal Zonal ,Total Zonals , District Sangathan Single PH ,DSC Members ,District Upadhyaksh ,District Sachiv ,Total District PH 
Champaran,East Champaran,57,57,52,20,134,0,5,0.9561403509,15,62,24,133,104,25,,0,7,,,3,10,2,2,17
Champaran,Bagaha,15,15,14,6,38,0,1,0.9666666667,4,17,9,114,78,18,,0,2,,,5,9,1,0,15
Champaran,Bettiah,26,25,16,4,46,1,10,0.7884615385,3,14,11,132,95,12,,0,3,,,3,6,0,1,10
Saran,Saran,47,47,38,14,107,0,9,0.9042553191,14,36,27,145,128,42,,7,5,,,8,12,2,4,26
Saran,Siwan,41,41,35,8,85,0,6,0.9268292683,1,31,26,134,118,30,,2,5,,,12,7,2,1,22
Saran,Gopalganj,32,32,27,9,71,0,5,0.921875,3,26,20,118,101,26,,1,5,,,6,6,3,5,20
Sahabad,Buxar,20,17,11,4,33,3,9,0.7,4,8,2,28,24,8,,0,3,,,6,0,0,0,6
Sahabad,Rohtas,33,32,25,3,60,1,8,0.8636363636,1,7,13,36,28,12,,4,7,,,9,0,0,0,9
Sahabad,Kaimur (Bhabhua),19,18,13,11,47,1,6,0.8157894737,3,12,11,25,21,12,,0,2,,,9,0,0,0,9
Sahabad,Bhojpur,31,30,19,9,66,1,12,0.7903225806,3,4,14,32,28,4,,3,5,,,6,0,0,0,6
Total,,321,314,250,88,687,7,71,0.8633976561,51,217,157,897,725,189,0,17,44,0,0,67,50,10,13,140
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.8633976561,,,,,,,,,,,,,,,
